Date,Median_price_per_sq_feet
01-07-2016,117.71875
01-08-2016,117.625
01-09-2016,117.5078125
01-10-2016,117.9375
01-11-2016,117.75
01-12-2016,117.046875
01-01-2017,117.578125
01-02-2017,118.9453125
01-03-2017,121.359375
01-04-2017,123.09375
01-05-2017,124.921875
01-06-2017,125.046875
01-07-2017,125.21875
01-08-2017,124.9414062
01-09-2017,125
01-10-2017,125.3125
01-11-2017,121.171875
01-12-2017,123.296875
01-01-2018,124.6171875
01-02-2018,126.90625
01-03-2018,129.828125
01-04-2018,132.53125
01-05-2018,134.109375
01-06-2018,135.5
01-07-2018,135.34375
01-08-2018,135.109375
01-09-2018,135.65625
01-10-2018,136
01-11-2018,136.0625
01-12-2018,135.625
01-01-2019,136.09375
01-02-2019,137.296875
01-03-2019,139.6205357
01-04-2019,142.609375
01-05-2019,144.078125
01-06-2019,144.03125
01-07-2019,143.46875
01-08-2019,142.7142857
01-09-2019,142.25
01-10-2019,142.6875
01-11-2019,141.9375
01-12-2019,141.109375
01-01-2020,141.5
01-02-2020,143.5
01-03-2020,146.734375
01-04-2020,148.390625
01-05-2020,151.9375
01-06-2020,155.046875
01-07-2020,157.15625
01-08-2020,159.5625
01-09-2020,161.890625
01-10-2020,163.65625
01-11-2020,163.78125
01-12-2020,163.578125
01-01-2021,166.1875
01-02-2021,171.359375
