Date,Number_of_months
01-01-1975,4.7
01-02-1975,5
01-03-1975,5.5
01-04-1975,6
01-05-1975,6.2
01-06-1975,6.4
01-07-1975,6.4
01-08-1975,6.3
01-09-1975,6.2
01-10-1975,5.5
01-11-1975,5.3
01-12-1975,4.8
01-01-1976,4.8
01-02-1976,5
01-03-1976,5.2
01-04-1976,5.1
01-05-1976,4.9
01-06-1976,4.1
01-07-1976,3.9
01-08-1976,3.5
01-09-1976,3.6
01-10-1976,3.6
01-11-1976,3.8
01-12-1976,3.8
01-01-1977,4.1
01-02-1977,4.3
01-03-1977,4.4
01-04-1977,4.4
01-05-1977,4.5
01-06-1977,4.1
01-07-1977,4.1
01-08-1977,3.3
01-09-1977,3.6
01-10-1977,3.5
01-11-1977,3.7
01-12-1977,3.9
01-01-1978,4
01-02-1978,4.3
01-03-1978,4.3
01-04-1978,4.3
01-05-1978,3.9
01-06-1978,3.3
01-07-1978,3.4
01-08-1978,3.2
01-09-1978,3.2
01-10-1978,3.2
01-11-1978,3.5
01-12-1978,3.7
01-01-1979,4
01-02-1979,4.3
01-03-1979,4.6
01-04-1979,4.6
01-05-1979,4.5
01-06-1979,3.8
01-07-1979,3.8
01-08-1979,3.6
01-09-1979,3.6
01-10-1979,3.6
01-11-1979,3.7
01-12-1979,3.9
01-01-1980,4.2
01-02-1980,4.6
01-03-1980,5
01-04-1980,5.1
01-05-1980,5.5
01-06-1980,5.9
01-07-1980,5.8
01-08-1980,5.7
01-09-1980,5.8
01-10-1980,5.9
01-11-1980,6.1
01-12-1980,6.1
01-01-1981,6.4
01-02-1981,6.6
01-03-1981,6.7
01-04-1981,6.6
01-05-1981,6.8
01-06-1981,6.3
01-07-1981,6.3
01-08-1981,5.9
01-09-1981,5.8
01-10-1981,6.1
01-11-1981,6.1
01-12-1981,6.5
01-01-1982,7
01-02-1982,7.6
01-03-1982,8.2
01-04-1982,8.6
01-05-1982,9.1
01-06-1982,9.6
01-07-1982,9.5
01-08-1982,9.8
01-09-1982,10
01-10-1982,9.7
01-11-1982,9.8
01-12-1982,9
01-01-1983,9.3
01-02-1983,9.9
01-03-1983,9.5
01-04-1983,8.4
01-05-1983,7.4
01-06-1983,6.9
01-07-1983,5.4
01-08-1983,4.6
01-09-1983,4.3
01-10-1983,4
01-11-1983,3.8
01-12-1983,4.1
01-01-1984,4.3
01-02-1984,4.4
01-03-1984,4.6
01-04-1984,4.8
01-05-1984,4.8
01-06-1984,4.5
01-07-1984,4.3
01-08-1984,3.9
01-09-1984,4.1
01-10-1984,4.3
01-11-1984,4.7
01-12-1984,4.7
