Date,Total_construction_spending
01-01-2002,382979
01-02-2002,391434
01-03-2002,390942
01-04-2002,404255
01-05-2002,399164
01-06-2002,407305
01-07-2002,410171
01-08-2002,404055
01-09-2002,400059
01-10-2002,402091
01-11-2002,406609
01-12-2002,416844
01-01-2003,423049
01-02-2003,422705
01-03-2003,418232
01-04-2003,425493
01-05-2003,426270
01-06-2003,436163
01-07-2003,454040
01-08-2003,458676
01-09-2003,463954
01-10-2003,475234
01-11-2003,490441
01-12-2003,508637
01-01-2004,503659
01-02-2004,505081
01-03-2004,511829
01-04-2004,517912
01-05-2004,528180
01-06-2004,533358
01-07-2004,549031
01-08-2004,557411
01-09-2004,552375
01-10-2004,556425
01-11-2004,555944
01-12-2004,571871
01-01-2005,581168
01-02-2005,594003
01-03-2005,597200
01-04-2005,603975
01-05-2005,609170
01-06-2005,622726
01-07-2005,634572
01-08-2005,639501
01-09-2005,652748
01-10-2005,664407
01-11-2005,670757
01-12-2005,676135
01-01-2006,681263
01-02-2006,684482
01-03-2006,674457
01-04-2006,656899
01-05-2006,640049
01-06-2006,621219
01-07-2006,604020
01-08-2006,590189
01-09-2006,579753
01-10-2006,567752
01-11-2006,555299
01-12-2006,551740
01-01-2007,544096
01-02-2007,538260
01-03-2007,534655
01-04-2007,530749
01-05-2007,521499
01-06-2007,513524
01-07-2007,503486
01-08-2007,488816
01-09-2007,472995
01-10-2007,455045
01-11-2007,439144
01-12-2007,423699
01-01-2008,409420
01-02-2008,393193
01-03-2008,397469
01-04-2008,392801
01-05-2008,389335
01-06-2008,382000
01-07-2008,372755
01-08-2008,360382
01-09-2008,348206
01-10-2008,336824
01-11-2008,320284
01-12-2008,301332
01-01-2009,291523
01-02-2009,276113
01-03-2009,262528
01-04-2009,251235
01-05-2009,244399
01-06-2009,245226
01-07-2009,252642
01-08-2009,258774
01-09-2009,262509
01-10-2009,263232
01-11-2009,263973
01-12-2009,264592
01-01-2010,263680
01-02-2010,263649
01-03-2010,263220
01-04-2010,264593
01-05-2010,263020
01-06-2010,261202
01-07-2010,254964
01-08-2010,249367
01-09-2010,249015
01-10-2010,247981
01-11-2010,248808
01-12-2010,248929
01-01-2011,250965
01-02-2011,249760
01-03-2011,251180
01-04-2011,253897
01-05-2011,254629
01-06-2011,256286
01-07-2011,257737
01-08-2011,259960
01-09-2011,258293
01-10-2011,260305
01-11-2011,254401
01-12-2011,255090
01-01-2012,259223
01-02-2012,254120
01-03-2012,258662
01-04-2012,265032
01-05-2012,269833
01-06-2012,275699
01-07-2012,279707
01-08-2012,285467
01-09-2012,292076
01-10-2012,300200
01-11-2012,302823
01-12-2012,305105
01-01-2013,309893
01-02-2013,314633
01-03-2013,318708
01-04-2013,322768
01-05-2013,327919
01-06-2013,330608
01-07-2013,334273
01-08-2013,341543
01-09-2013,345327
01-10-2013,351749
01-11-2013,358973
01-12-2013,366094
01-01-2014,372525
01-02-2014,369315
01-03-2014,375258
01-04-2014,379989
01-05-2014,382391
01-06-2014,376926
01-07-2014,376661
01-08-2014,378231
01-09-2014,386668
01-10-2014,391098
01-11-2014,397603
01-12-2014,407755
01-01-2015,412766
01-02-2015,418869
01-03-2015,419989
01-04-2015,423395
01-05-2015,431943
01-06-2015,438244
01-07-2015,444103
01-08-2015,445049
01-09-2015,452916
01-10-2015,455257
01-11-2015,454074
01-12-2015,460815
01-01-2016,464700
01-02-2016,465592
01-03-2016,478810
01-04-2016,475632
01-05-2016,474981
01-06-2016,478711
01-07-2016,481763
01-08-2016,485091
01-09-2016,486805
01-10-2016,505164
01-11-2016,511112
01-12-2016,521509
01-01-2017,520246
01-02-2017,543536
01-03-2017,537448
01-04-2017,541329
01-05-2017,541342
01-06-2017,540034
01-07-2017,546304
01-08-2017,545675
01-09-2017,548076
01-10-2017,545984
01-11-2017,566922
01-12-2017,575346
01-01-2018,582012
01-02-2018,592504
01-03-2018,583579
01-04-2018,582427
01-05-2018,581631
01-06-2018,570891
01-07-2018,562859
01-08-2018,553691
01-09-2018,553579
01-10-2018,542175
01-11-2018,539913
01-12-2018,528124
01-01-2019,534112
01-02-2019,529595
01-03-2019,531409
01-04-2019,537129
01-05-2019,538074
01-06-2019,544438
01-07-2019,550109
01-08-2019,559162
01-09-2019,562791
01-10-2019,563877
01-11-2019,574079
01-12-2019,579863
01-01-2020,596728
01-02-2020,600581
01-03-2020,595963
01-04-2020,569892
01-05-2020,547787
01-06-2020,562612
01-07-2020,584418
01-08-2020,624410
01-09-2020,629972
01-10-2020,659365
01-11-2020,679699
01-12-2020,704823
01-01-2021,722379
